Local government name,link,Successes,Challenges,Receipts,Disbursements,Interest,Dec. account balance,Notes,Percent spent (without interest),Public Input?,Spending explanations:
Adams,https://www.documentcloud.org/documents/26017720-adams-county/#document/p1,None reported.,None reported.,"$438,217.00",$0.00,$0.00,"$438,217.00",,0.00%,TBD,None
Ashland,https://www.documentcloud.org/documents/26017718-ashland-county/,None reported.,None reported.,"$301,557.00",$0.00,"$9,966.00","$311,545.00",,0.00%,TBD,None
Barron,https://www.documentcloud.org/documents/26017713-barron-county/#document/p1,The expansion and improvement of the county's recovery courts.,Identifying and engaging people needing services. Transportation and other accessibility barriers to Medication-Assisted Treatment. ,"$640,615.00","$111,809.00","$35,594.00","$564,400.00",,17.45%,TBD,A co-responder program for substance use and/or mental health related 911 calls.
Bayfield,https://www.documentcloud.org/documents/26017725-bayfield-county/#document/p1,Implemented an evidence-based prevention program in school that earned excitement from school districts. Collected 549 responses to a community survey related.,Older drug prevention curriculum in schools has required time to navigate how these programs can interact with the new curriculum. The county has difficulties determining areas of overlap between community service agencies. ,"$166,191.00","$25,845.00","$10,166.00","$150,511.00",Received corrected 2023 receipts from county. Received total interest from county.,15.55%,TBD,Community Survey School based prevention programming planning and training. Drug disposal programs. Partially funded a public health nurse position.
Brown,https://www.documentcloud.org/documents/26017723-brown-county/,"Trained and equipped drug task force officers. Hiring staff to provide services to individuals with opioid use disorder, substance use disorder, mental health needs and those in recovery. Brown County Health & Human Services has several sober living resources for people with a variety of substance use needs. The county provided overdosed education, detoxification services, outpatient clinical services, and sober living services using settlement funds.",Limited providers for detoxification services. Medication assisted treatment continues to have limits with availability including case management support.,"$3,886,728.00","$522,403.00",$0.00,"$3,364,325.00",,13.44%,TBD,Two full-time Drug Task Force officers dedicated to Opioid mitigation. Detoxification Services. Clinical outpatient services. A Clinical Social Worker/Licensed Professional Counselor in the county Health and Human Services Department. Sober living.
Buffalo,https://www.documentcloud.org/documents/26017719-buffalo-county/,"""We feel that the efforts put forward so far have reduced the number of Opioid Overdoses, provided safety to people and increased awareness.""","The number of opioids coming into the region, increased opioid use and accidental exposures. ","$163,178.00",$0.00,"$9,984.00","$173,163.00",,0.00%,TBD,None
Burnett,https://www.documentcloud.org/documents/26017712-burnett-county/,None reported.,None reported.,"$300,216.00",$583.00,$405.00,"$300,038.00",Received corrected 2023 disbursements from county.,0.19%,TBD,Costs to attend planning meetings for settlement funds (2022)
Calumet,https://www.documentcloud.org/documents/26017715-calumet-county/,None reported.,None reported.,"$517,337.00","$2,675.00","$33,425.00","$548,087.00",Confirmed 2022 interest with county.,0.52%,TBD,None reported
Chippewa,https://www.documentcloud.org/documents/26017721-chippewa-county/#document/p1,Hosted well-attended community events on how to use Narcan. ,"""We are continuing to try different programs to deal with the challenges.""","$934,564.00","$248,734.00","$48,371.00","$734,201.00",,26.61%,TBD,"Four TruNarc Handheld Narcotics Analyzers for the Sheriff's Department. Peer support. Overdose fatality review and harm reduction efforts. Drug deactivation kits, Narcan supplies and training. Fentanyl related supplies for law enforcement and jail staff. Training conferences for sheriff's office peer support group."
Clark,https://www.documentcloud.org/documents/26017724-clark-county/,None reported.,"""Reaching the appropriate people with preventative information.""","$349,806.00","$91,084.00",$0.00,"$258,722.00",,26.04%,TBD,Sharps collection kiosks. Trunarc Kits to check for fentanyl and other drugs. Opioid training and lodging for law enforcement Posters and coasters. Scholarships to assist individuals with accessing treatment including transportation. Speakers and school-based curriculum.
Columbia,https://www.documentcloud.org/documents/26017722-columbia-county/,"Substance use programming and Narcan availability helped keep drug overdoses at a more than 10 year low. Overdose related calls to the Sheriff's Office are at a 15 year low. The Sheriff's Office and K9 teams seized large quantities of Fentanyl. Sheriff's Office staff saved lives using Narcan. Contracted with a sober living provider, a recovery and prevention response team, a peer support agency, and a mobile medication-assisted treatment unit. Implemented successful awareness and prevention programs. More people in the county jail utilized counseling and peer support. The county has improved drug take back boxes.",Lab grown drug compounds allow illicit chemists to stay ahead of laws. Staffing shortages prevented detectives from focusing their time solely on opioid trafficking. Stagnant budgets and rising training costs prevent law enforcement from receiving up-to-date guidance on trends. A lack of affordable housing and transportation. The county could not sustain certain successful programming without grant funding. The county is seeing repeat offenders. A lack of providers have led to months-long waitlists for mental health treatment and longer waitlists for substance use treatment. Burnout among staff who work on opioid treatment and abatement efforts is high.,"$1,442,110*","$96,666.00","$53,112*","$1,398,556.00",Subtracted interest from receipt total when included.,6.70%,TBD,Adult Drug Treatment Court. The Recover Columbia County app through AppArmor.
Crawford,https://www.documentcloud.org/documents/26017714-crawford-county/,None reported.,Finding providers in a rural area is difficult. The county is in a service shortage area for outpatient and residential substance use disorder services. There is a lack of peer support and recovery services.There were difficulties creating an infrastructure for distributing the funds.,"$261,349.00","$2,128.00",$0.00,"$259,221.00",,0.81%,TBD,Drug Take Back Box for Prairie du Chien.
Dane,https://www.documentcloud.org/documents/26017717-dane-county/,None reported.,None reported.,"$11,054,390.00","$3,604,969.00","$494,610.00","$7,944,032.00",,32.61%,TBD,Optional questions not submitted.
Dodge,https://www.documentcloud.org/documents/26017735-dodge-county/,None reported.,None reported.,"$1,745,007.00",$0.00,"$112,774.00","$1,857,781.00",,0.00%,TBD,None
Door,https://www.documentcloud.org/documents/26017743-door-county/,Opened a female only sober living program in October of 2024. Successful graduates from Treatment Court programming.,The number of individuals who need treatment. Long waiting lists for treatment. Drug affected families increasing the number of foster care and Kinship care placements. ,"$377,950.00",$0.00,$0.00,"$377,951.00",,0.00%,TBD,None
Douglas,https://www.documentcloud.org/documents/26017736-douglas-county/,"Initiated peer respite program. Distributed Narcan, drug test strips, drug disposal bags  and drug lock boxes.Introduced a re-entry specialist in the county jail. Fully funded drug treatment court programming. Increased inpatient treatment access. Contributed to a local homeless and resource center for people with mental health and substance use concerns. Provided prevention education. Youth substance abuse groups contracted with local providers through youth justice grants.",Up to three month waitlists for outpatient treatment and as long as six months for inpatient treatment. A lack of Suboxone prescribers locally. The county’s position on state lines mean that larger city drug concerns often become transient into their communities. A lack of resources for those that have both mental health concerns and opioid/substance addiction. A decrease in homeless shelters and resources.,"$743,951.00","$96,598.00","$42,627.00","$689,980.00",,12.98%,TBD,Re-entry specialist in county jail.
Dunn,https://www.documentcloud.org/documents/26017734-dunn-county/,None reported.,None reported.,"$592,391.00","$21,436.00",$0.00,"$570,955.00",,3.62%,TBD,Optional questions not submitted.
Eau Claire,https://www.documentcloud.org/documents/26017730-eau-claire-county/,"Improved coordination of county departments to implement programs that support opioid prevention, harm reduction, treatment, and recovery programs. The Opioid Settlement Task Force approved funding for several projects. There is awareness and understanding among partner agencies and the community about the issue and the programs needed to help.",Stigma remains an issue. The degree of need in the community related to the opioid epidemic across the spectrum from prevention to harm reduction to treatment and recovery. Not enough funding to fill every gap. A lack of housing and access to care and treatment. Difficulties navigating how state opioid settlement funding and local funding can work together. ,"$1,577,476.00","$101,103.00","$99,334.00","$1,575,707.00",,6.41%,TBD,Community sharps disposal containers. Peer support training. Narcan and Fentanyl test strips. Public Health Specialist. Project management position.
Florence,https://www.documentcloud.org/documents/26017738-florence-county/,"Narcan and Fentanyl test strip distribution. Youth prevention programming. Public health vending machines. Collaboration allowed the county to access all available means to support community efforts to combat the opioid epidemic. A local provider is certified in addiction medicine and providing evidence-based treatment. 
",The stigma surrounding opioid users. A shortage of people in the area trained to provide evidence-based practices for combating opioid use. There are no child care facilities in the county for parents in recovery or parents working in recovery services. Local residents lack housing because of the prevalence of Airbnb and Vrbo properties in the area. Housing and child care shortages are contributing to a lack of front-line workers.,"$71,033.00",$975.00,"$1,270.00","$71,328.00",,1.37%,TBD,Opioid prevention effort at local ski hill event.
Fond du Lac,https://www.documentcloud.org/documents/26017731-fond-du-lac-county/,None reported.,None reported.,"$1,602,940.00",$0.00,"$107,792.00","$1,710,732.00",,0.00%,TBD,None
Forest,https://www.documentcloud.org/documents/26017740-forest/,"While the epidemic continues, measures put in place are slowing it. Overdoses have decreased.",Residents in Forest County are overdosing regularly. People are afraid to ask for help which makes it difficult to provide them services.,"$170,212.00","$56,954.00",$0.00,"$113,258.00",,33.46%,TBD,Sharps collection kiosks. Trunarc Kits to check for fentanyl and other drugs. Opioid training and lodging for law enforcement. Posters and coasters. Scholarships to assist individuals with accessing treatment including transportation. Speakers and school-based cirrculum.
Grant,https://www.documentcloud.org/documents/26017739-grant-county/,"""Created Budget for 2024 appropriation of funds.""","""The biggest challenge continues to be determining how to best use the opioid settlement
funds to serve the population that needs them. We are committed to being good stewards
of the funding and will diligently work to maximize its effectiveness.""","$667,445*","$43,000.00","$4,146*","$628,591.00",Subtracted interest from receipt total when included.,6.44%,TBD,"Use assessment. Transitional housing support through Southwest Community Action Program. Residential treatment funding, staff training and technology needs through Unified Community Services."
Green,https://www.documentcloud.org/documents/26017727-green-county/,Continued to address needs based on County Opioid Assessment and Recommendations. ,"""Attempting to work with a community organization to expand their programming to a different demographic with minimal communication/follow through.""","$625,759.00","$62,961.00","$37,534.00","$600,332.00",,10.06%,TBD,Treatment Court. First responder mental health support
Green Lake,https://www.documentcloud.org/documents/26017732-green-lake-county/,None reported.,None reported.,"$375,270*",$0*,"$12,124*","$381,192*",December balance does not match total receipts minus disbursements. The county is working on correcting the reporting error. ,0.00%,TBD,None
Iowa,https://www.documentcloud.org/documents/26017741-iowa-county/,None reported. ,"""The reporting and paperwork is a challenge. The funding in our County is limited and the impacts are small.”","$373,930.00","$79,742.00","$4,064.00","$298,251.00",,21.33%,TBD,"Equipment and technology for treatment staff at Unified Community Services. Residential treatment through Unified Community Services. Recovery capital, motivational incentives, and compensation for peer support efforts at Opportunity House. Drug addiction speaker at a high school. Narcan training for county staff. Transportation for people in recovery programs. Drug treatment court. Family Resource center (peer support and child care). Iowa County Health Department website. Behavioral Health Partnership. Mental health resources for Sheriff's Office employees. School-based prevention program. Incentives and housing support for drug treatment court participants. Narcan and other harm reduction supplied for vending machines."
Iron,https://www.documentcloud.org/documents/26017742-iron-county/,"""Iron County formed an Opioid Settlement Planning Committee to assess needs, plan initiatives, and manage projects.""","""Currently in planning phase for use of funds. Staff time to devote to additional projects is always challenging.""","$81,755.00",$277.00,"$1,383.00","$82,862.00",,0.34%,TBD,Naloxone planning and prevention training.
